Parcel ID,Address,
8.71712E+11, 1107 4TH ST ,
8.71607E+11, 306 E G AVE UNIT 2 ,
8.71712E+11, 405 J AVE ,
8.71607E+11, 201 J AVE ,
8.71607E+11, 204 K AVE APT 7 ,
8.71607E+11, 302 K AVE ,
8.71712E+11, 1110 5TH ST ,
8.71712E+11, 406 K AVE ,
8.71607E+11, 209 M AVE ,
8.71607E+11, 319 I AVE ,
8.71607E+11, 205 I AVE ,
8.71712E+11, 1004 6TH ST ,
8.71712E+11, J AVE ,
8.71712E+11, 1103 4TH ST ,
8.71712E+11, 1106 6TH ST ,
8.71607E+11, 4TH ST (REAR LAND) ,
8.71607E+11, 206 M AVE ,
8.71607E+11, 804 E 1ST ST ,
8.71712E+11, 410 J AVE ,
8.71607E+11, 1106 4TH ST ,
8.71712E+11, 904 5TH ST ,
8.71607E+11, 101 H AVE ,
8.71607E+11, 313 J AVE ,
8.71607E+11, 108 I AVE ,
8.71607E+11, 905 2 ST ,
8.71712E+11, 410 I AVE ,
8.71712E+11, 1208 6TH ST ,
8.71607E+11, 1004 2 ST ,
8.71607E+11, 106 H AVE ,
8.71712E+11, 406 I AVE ,
8.71607E+11, 306 M AVE ,
8.71607E+11, 706 2 ST ,
8.71607E+11, 204 M AVE ,
8.71712E+11, 706 5TH ST ,
8.71607E+11, 301 M AVE ,
8.71607E+11, 315 I AVE ,
8.71712E+11, 1107 5TH ST ,
8.71607E+11, 805 2 ST ,
8.71607E+11, 210 M AVE ,
8.71607E+11, 207 H AVE ,
8.71607E+11, 202 H AVE ,
8.71607E+11, 104 M AVE ,
8.71607E+11, 203 H AVE ,
8.71607E+11, 209 I AVE ,
8.71607E+11, 105 M AVE ,
8.71607E+11, 106 G AVE ,
8.71607E+11, 905 FROST ST ,
8.71607E+11, 803 1ST ST ,
8.71607E+11, 303 M AVE ,
8.71607E+11, 207 M AVE ,
8.71712E+11, 407 M AVE ,
8.71712E+11, 1207 5TH ST ,
8.71712E+11, 1301 5TH ST ,
8.71712E+11, 408 I AVE ,
8.71607E+11, 302 M AVE ,
8.71607E+11, 1301 1ST ST ,
8.71712E+11, 408 K AVE ,
8.71712E+11, 1401 4TH ST ,
8.71607E+11, 101 E J AVE ,
