"","year","GEOID","NAME","Total Housing Units","Total Housing Units moe","Occupied Units","Occupied Units moe","vacant_unitsE","vacant_unitsM","Owner Occupied Units","Owner Occupied Units moe","Renter Occupied Units","Renter Occupied Units moe","Median House Value","Median House Value moe","Median Year Built","Median Year Built moe","Home Ownership Rate Estimate","Home Ownership Rate moe","Rental Rate Estimate","Rental Rate moe","Vacancy Rate Estimate","Vacancy Rate moe","Occupancy Rate Estimate","Occupancy Rate moe"
"11","2009","1925095","Elma",261,56,222,52,39,29,173,40,49,31,57100,9121,1939,0,0.779279279279279,0.256482975242658,0.220720720720721,0.148903173388504,0.149425287356322,0.115644113381925,0.850574712643678,0.00091337373467072
"12","2009","1925365","Ely",610,61,564,59,46,30,448,49,116,38,179500,7660,1994,2,0.794326241134752,0.12021945382155,0.205673758865248,0.0707278415540984,0.0754098360655738,0.04975511112481,0.924590163934426,0.000173716742811072
"13","2009","1925500","Emerson",184,28,171,25,13,14,154,25,17,9,65800,12850,1939,0,0.900584795321637,0.196747614378977,0.0994152046783626,0.0546015704696515,0.0706521739130435,0.0768428131759417,0.929347826086957,0.00085538249845448
"14","2009","1925590","Emmetsburg",1801,139,1640,125,161,93,1058,125,582,126,83000,8759,1955,8,0.645121951219512,0.0907038561548413,0.354878048780488,0.0814516110758117,0.0893947806774014,0.0520968617823704,0.910605219322599,4.15491634373952e-05
"15","2009","1925725","Epworth",690,74,675,68,15,19,546,66,129,39,121200,6769,1975,4,0.808888888888889,0.127282358173059,0.191111111111111,0.0609010434691594,0.0217391304347826,0.0276347551592989,0.978260869565217,0.000159134016181411
"16","2009","1925815","Essex",438,70,395,69,43,35,311,55,84,34,68000,13438,1953,12,0.787341772151899,0.195714010719048,0.212658227848101,0.0937498533932155,0.0981735159817352,0.081434435436453,0.901826484018265,0.00041225645013335
"17","2009","1925860","Estherville",3013,154,2633,199,380,133,1798,116,835,174,76700,2910,1954,3,0.682871249525256,0.0678574230422416,0.317128750474744,0.0702966401466411,0.126120146033853,0.0446102522608701,0.873879853966147,2.26784172761326e-05
"18","2009","1925995","Evansdale",2225,195,2071,180,154,102,1454,165,617,147,86400,5437,1958,3,0.702076291646548,0.100354823230696,0.297923708353452,0.075555828775255,0.0692134831460674,0.0462422748833885,0.930786516853933,3.95721827022404e-05
"19","2009","1926175","Everly",313,58,290,55,23,22,203,39,87,45,66600,5310,1960,12,0.7,0.188972124223787,0.3,0.165274606641419,0.073482428115016,0.0715943347157763,0.926517571884984,0.000663044879581654
"20","2009","1926265","Exira",375,59,319,57,56,38,282,54,37,23,56100,4824,1953,4,0.884012539184953,0.231530171225008,0.115987460815047,0.0750198784513604,0.149333333333333,0.10402146264386,0.850666666666667,0.000461485903012346
"21","2009","1926310","Exline",90,29,87,28,3,5,73,27,14,13,52100,19089,1939,0,0.839080459770115,0.411388273466045,0.160919540229885,0.158145948389014,0.0333333333333333,0.0565843022820484,0.966666666666667,0.00457197073616827
"22","2009","1926355","Fairbank",504,68,434,61,70,39,347,49,87,39,108500,9146,1972,3,0.799539170506912,0.159298051075024,0.200460829493088,0.0941752929235225,0.138888888888889,0.0796175926105518,0.861111111111111,0.000271244144989631
"23","2009","1926400","Fairfax",638,84,629,83,9,14,538,60,91,69,166000,14565,1996,4,0.855325914149444,0.147775688303023,0.144674085850556,0.111346689395795,0.0141065830721003,0.0220220335767304,0.9858934169279,0.000230696309270561
"24","2009","1926445","Fairfield",4847,330,4237,353,610,209,2515,342,1722,267,81900,5345,1959,4,0.593580363464716,0.0946622807202014,0.406419636535284,0.0715372123701559,0.125851041881576,0.0439625321333674,0.874148958118424,1.58614676429508e-05
"25","2009","1926760","Farley",531,46,519,46,12,15,469,43,50,24,114700,7830,1968,5,0.903660886319846,0.11523594845735,0.0963391136801541,0.0470245048419622,0.0225988700564972,0.0283163443573992,0.977401129943503,0.000176956668046367
"26","2009","1926850","Farmersburg",126,24,118,22,8,9,108,22,10,7,72600,8767,1939,0,0.915254237288136,0.252741662115602,0.0847457627118644,0.0613901093125366,0.0634920634920635,0.0724451449999744,0.936507936507937,0.00165540306993714
