full url,,District/Parcel,District/Parcel URL,Class,BldgFull,Address,Address City,Yr,Area,Condition,X,Y,address trim,address +,"address+,",city +,address+city,,front url,full url,,sort poor,sort link,poor text,link text
"https://maps.googleapis.com/maps/api/streetview?size=800x800&location=3907+SW+9TH+ST,+DES+MOINES",,010/00405-001-000,http://web.assess.co.polk.ia.us/cgi-bin/web/tt/infoqry.cgi?tt=card/card&dp=01000405001000&amp;format=codeDescrOnly&amp;level=1&amp;,Res,92600,3907 SW 9TH ST ,DES MOINES,1926,1715,BN/Below Normal,1606185.692,564358.068,3907 SW 9TH ST,3907+SW+9TH+ST,"3907+SW+9TH+ST,+",DES+MOINES,"3907+SW+9TH+ST,+DES+MOINES",,https://maps.googleapis.com/maps/api/streetview?size=800x800&location=,"https://maps.googleapis.com/maps/api/streetview?size=800x800&location=3907+SW+9TH+ST,+DES+MOINES",,,,,
"https://maps.googleapis.com/maps/api/streetview?size=800x800&location=521+WATROUS+AVE,+DES+MOINES",,010/00413-000-000,http://web.assess.co.polk.ia.us/cgi-bin/web/tt/infoqry.cgi?tt=card/card&dp=01000413000000&amp;format=codeDescrOnly&amp;level=1&amp;,Res,117000,521 WATROUS AVE ,DES MOINES,1900,1303,BN/Below Normal,1607037.068,564193.226,521 WATROUS AVE,521+WATROUS+AVE,"521+WATROUS+AVE,+",DES+MOINES,"521+WATROUS+AVE,+DES+MOINES",,https://maps.googleapis.com/maps/api/streetview?size=800x800&location=,"https://maps.googleapis.com/maps/api/streetview?size=800x800&location=521+WATROUS+AVE,+DES+MOINES",,,,,
"https://maps.googleapis.com/maps/api/streetview?size=800x800&location=701+MAISH+AVE,+DES+MOINES",,010/00423-013-000,http://web.assess.co.polk.ia.us/cgi-bin/web/tt/infoqry.cgi?tt=card/card&dp=01000423013000&amp;format=codeDescrOnly&amp;level=1&amp;,Res,146200,701 MAISH AVE ,DES MOINES,1962,1248,BN/Below Normal,1606727.207,564506.046,701 MAISH AVE,701+MAISH+AVE,"701+MAISH+AVE,+",DES+MOINES,"701+MAISH+AVE,+DES+MOINES",,https://maps.googleapis.com/maps/api/streetview?size=800x800&location=,"https://maps.googleapis.com/maps/api/streetview?size=800x800&location=701+MAISH+AVE,+DES+MOINES",,,,,
"https://maps.googleapis.com/maps/api/streetview?size=800x800&location=3314+SOUTH+UNION+ST,+DES+MOINES",,010/00432-002-000,http://web.assess.co.polk.ia.us/cgi-bin/web/tt/infoqry.cgi?tt=card/card&dp=01000432002000&amp;format=codeDescrOnly&amp;level=1&amp;,Res,67100,3314 SOUTH UNION ST ,DES MOINES,1918,1408,PR/Poor,1608534.63,566217.994,3314 SOUTH UNION ST,3314+SOUTH+UNION+ST,"3314+SOUTH+UNION+ST,+",DES+MOINES,"3314+SOUTH+UNION+ST,+DES+MOINES",,https://maps.googleapis.com/maps/api/streetview?size=800x800&location=,"https://maps.googleapis.com/maps/api/streetview?size=800x800&location=3314+SOUTH+UNION+ST,+DES+MOINES",,PR/Poor,"https://maps.googleapis.com/maps/api/streetview?size=800x800&location=3314+SOUTH+UNION+ST,+DES+MOINES",PR/Poor,"https://maps.googleapis.com/maps/api/streetview?size=800x800&location=3314+SOUTH+UNION+ST,+DES+MOINES"
"https://maps.googleapis.com/maps/api/streetview?size=800x800&location=3623+SW+9TH+ST,+DES+MOINES",,010/00499-000-000,http://web.assess.co.polk.ia.us/cgi-bin/web/tt/infoqry.cgi?tt=card/card&dp=01000499000000&amp;format=codeDescrOnly&amp;level=1&amp;,Res,42200,3623 SW 9TH ST ,DES MOINES,1920,756,BN/Below Normal,1606106.914,565142.606,3623 SW 9TH ST,3623+SW+9TH+ST,"3623+SW+9TH+ST,+",DES+MOINES,"3623+SW+9TH+ST,+DES+MOINES",,https://maps.googleapis.com/maps/api/streetview?size=800x800&location=,"https://maps.googleapis.com/maps/api/streetview?size=800x800&location=3623+SW+9TH+ST,+DES+MOINES",,,,,
"https://maps.googleapis.com/maps/api/streetview?size=800x800&location=3627+SW+9TH+ST,+DES+MOINES",,010/00500-000-000,http://web.assess.co.polk.ia.us/cgi-bin/web/tt/infoqry.cgi?tt=card/card&dp=01000500000000&amp;format=codeDescrOnly&amp;level=1&amp;,Res,61500,3627 SW 9TH ST ,DES MOINES,1915,936,BN/Below Normal,1606106.725,565092.776,3627 SW 9TH ST,3627+SW+9TH+ST,"3627+SW+9TH+ST,+",DES+MOINES,"3627+SW+9TH+ST,+DES+MOINES",,https://maps.googleapis.com/maps/api/streetview?size=800x800&location=,"https://maps.googleapis.com/maps/api/streetview?size=800x800&location=3627+SW+9TH+ST,+DES+MOINES",,,,,
"https://maps.googleapis.com/maps/api/streetview?size=800x800&location=2250+SW+11TH+ST,+DES+MOINES",,010/00526-000-000,http://web.assess.co.polk.ia.us/cgi-bin/web/tt/infoqry.cgi?tt=card/card&dp=01000526000000&amp;format=codeDescrOnly&amp;level=1&amp;,Res,80400,2250 SW 11TH ST ,DES MOINES,1954,1361,PR/Poor,1604929.988,570511.284,2250 SW 11TH ST,2250+SW+11TH+ST,"2250+SW+11TH+ST,+",DES+MOINES,"2250+SW+11TH+ST,+DES+MOINES",,https://maps.googleapis.com/maps/api/streetview?size=800x800&location=,"https://maps.googleapis.com/maps/api/streetview?size=800x800&location=2250+SW+11TH+ST,+DES+MOINES",,PR/Poor,"https://maps.googleapis.com/maps/api/streetview?size=800x800&location=2250+SW+11TH+ST,+DES+MOINES",PR/Poor,"https://maps.googleapis.com/maps/api/streetview?size=800x800&location=2250+SW+11TH+ST,+DES+MOINES"
"https://maps.googleapis.com/maps/api/streetview?size=800x800&location=930+LOOMIS+AVE,+DES+MOINES",,010/00624-000-000,http://web.assess.co.polk.ia.us/cgi-bin/web/tt/infoqry.cgi?tt=card/card&dp=01000624000000&amp;format=codeDescrOnly&amp;level=1&amp;,Res,89000,930 LOOMIS AVE ,DES MOINES,1914,1505,BN/Below Normal,1605603.574,568736.565,930 LOOMIS AVE,930+LOOMIS+AVE,"930+LOOMIS+AVE,+",DES+MOINES,"930+LOOMIS+AVE,+DES+MOINES",,https://maps.googleapis.com/maps/api/streetview?size=800x800&location=,"https://maps.googleapis.com/maps/api/streetview?size=800x800&location=930+LOOMIS+AVE,+DES+MOINES",,,,,
"https://maps.googleapis.com/maps/api/streetview?size=800x800&location=2822+SW+9TH+ST,+DES+MOINES",,010/00631-000-000,http://web.assess.co.polk.ia.us/cgi-bin/web/tt/infoqry.cgi?tt=card/card&dp=01000631000000&amp;format=codeDescrOnly&amp;level=1&amp;,Res,84400,2822 SW 9TH ST ,DES MOINES,1915,1335,BN/Below Normal,1605884.413,568148.044,2822 SW 9TH ST,2822+SW+9TH+ST,"2822+SW+9TH+ST,+",DES+MOINES,"2822+SW+9TH+ST,+DES+MOINES",,https://maps.googleapis.com/maps/api/streetview?size=800x800&location=,"https://maps.googleapis.com/maps/api/streetview?size=800x800&location=2822+SW+9TH+ST,+DES+MOINES",,,,,
"https://maps.googleapis.com/maps/api/streetview?size=800x800&location=928+CRESTON+AVE,+DES+MOINES",,010/00639-000-000,http://web.assess.co.polk.ia.us/cgi-bin/web/tt/infoqry.cgi?tt=card/card&dp=01000639000000&amp;format=codeDescrOnly&amp;level=1&amp;,Res,108600,928 CRESTON AVE ,DES MOINES,1908,1174,BN/Below Normal,1605649.676,568241.852,928 CRESTON AVE,928+CRESTON+AVE,"928+CRESTON+AVE,+",DES+MOINES,"928+CRESTON+AVE,+DES+MOINES",,https://maps.googleapis.com/maps/api/streetview?size=800x800&location=,"https://maps.googleapis.com/maps/api/streetview?size=800x800&location=928+CRESTON+AVE,+DES+MOINES",,,,,
