Parcel ID,Address
634409005,112 6TH ST NE
634336005,86 6TH ST NE
635306003,508 8TH AVE NE
635306009,808 5TH ST NE
635307003,506 9TH AVE NE
634410003,210 6TH ST NE
634410008,601 3RD AVE NE
634334004,619 CENTER AVE NE
634335004,608 CENTER AVE NE
634412008,600 4TH AVE NE
634412010,603 5TH AVE NE
634433010,516 6TH ST NE
634335009,607 NELSON AVE NE
634434005,600 6TH AVE NE
634410002,600 2ND AVE NE
634410003,210 6TH ST NE
634434010,618 6TH ST NE
634337004,604 1ST AVE NE
634409006,603 2ND AVE NE
634410007,605 3RD AVE NE
635306008,511 9TH AVE NE
634336009,605 1ST AVE NE
634435015,601 8TH AVE NE
634336003,606 NELSON AVE NE
634334003,609 CENTER ST NE
634433004,604 5TH AVE NE
634335003,610 CENTER AVE NE
634433009,605 6TH AVE NE
634434004,604 6TH AVE NE
634434009,607 7TH AVE NE
634412009,605 5TH AVE NE
634337003,610 1ST AVE NE
634409004,611 2ND AVE NE
634435008,700 6TH ST NE
634336002,610 NELSON AVE NE
634330005,709 CENTER AVE NE
634435009,706 6TH ST NE
634410006,611 3RD AVE NE
634435010,710 6TH ST NE
634435011,714 6TH ST NE
634435012,716 6TH ST NE
634435013,720 6TH ST NE
634435014,607 8TH AVE NE
634334002,613 CENTER AVE NE
634433003,608 5TH AVE NE
634335002,614 CENTER AVE NE
634337002,612 1ST AVE NE
635306006,811 6TH ST NE
635306007,813 6TH ST NE
634335008,613 NELSON AVE NE
635307001,514 9TH AVE NE
635307002, 9TH AVE NE (VACANT)
634434008,609 7TH AVE NE
634336008,613 1ST AVE NE
634409003,615 2ND AVE NE
634406004,706 2ND AVE NE
634407010,306 7TH ST NE
634407011,310 7TH ST NE
634406008,705 3RD AVE NE
634331002,710 CENTER ST
634430004,706 5TH AVE NE
635304001,614 8TH AVE NE
635304004,811 7TH ST NE
634430009,711 6TH AVE NE
635304005,613 9TH AVE NE
635305001,614 9TH AVE NE
634331007,707 NELSON AVE NE
634408004,708 4TH AVE NE
634332008,709 1ST AVE NE
634407009,302 7TH ST NE
635314004,1001 7TH ST NE
634408006,707 5TH AVE NE
635314003,1007 7TH ST NE
635314002,1011 7TH ST NE
634405003,709 2ND AVE NE
634406003,710 2ND AVE NE
634433008,609 6TH AVE NE
634410005,613 3RD AVE NE
634412005,613 5TH AVE NE
634334001,619 CENTER AVE NE
634335001,71 7TH ST NE
634335007,619 NELSON AVE NE
634433007,615 6TH AVE NE
634435002,612 7TH AVE NE
634434002,612 6TH AVE NE
634336001,616 NELSON AVE NE
634336006,93 7TH ST NE
634434007,615 7TH AVE NE
634336007,619 1ST AVE NE
634435007,613 8TH AVE NE
634337001,103 7TH ST NE
634409001,111 7TH ST NE
634409002,117 7TH ST NE
634410001,618 2ND AVE NE
634410004,617 3RD AVE NE
634412011,612 4TH AVE NE
634412002,407 7TH ST NE
634412003,617 5TH AVE NE
634433001,618 5TH AVE NE
635304003,600 8TH AVE NE
634433006,619 6TH AVE NE
634434006,619 7TH AVE NE
634435001,616 7TH AVE NE
634435003,709 7TH ST NE
634435004,713 7TH ST NE
634435005,717 7TH ST NE
634435006,619 8TH AVE NE
634330006,703 CENTER AVE NE
634331004,60 7TH ST NE
635304008,808 6TH ST NE
635305003,600 9TH AVE NE
634332010,92 7TH ST NE
634332011,701 1ST AVE NE
635314005,601 11TH AVE NE
634333004,100/102 7TH ST NE
634332005,86 7TH ST NE
634330006,703 CENTER AVE NE
634408005,400 7TH ST NE
634331003,704 CENTER AVE NE
634430005,702 5TH AVE NE
635304002,606 8TH AVE NE
634407012,314 7TH ST NE
634430010,703 6TH AVE NE
634332004,88 7TH ST NE
634332009,705 1ST AVE NE
634333003,706 1ST AVE NE
634406009,214 7TH ST NE
634406010,701 3RD AVE NE
634405004,701 2ND AVE NE
634432009,712 7TH ST NE
634432010,714 7TH ST NE
634407008,707 4TH AVE NE
634432011,720 7TH ST NE
634430003,710 5TH AVE NE INDEP
634331006,713 NELSON AVE NE
634430008,713 6TH AVE NE
634332007,715 1ST AVE NE
634332002,716 NELSON AVE NE
634408003,712 4TH AVE NE
634406002,712 2ND AVE NE
634407005,712 3RD AVE NE
634333002,714 1ST AVE NE
634405002,711 2ND AVE NE
634303002, 8TH ST NE
634407007,715 4TH AVE NE
634406007,709 3RD AVE NE
634330002,45 8TH ST NE
634330003,719 CENTER AVE NE
634331001,714 CENTER AVE NE
635301004,700 8TH AVE NE
634430002,712 5TH AVE NE
634331005,719 NELSON AVE NE
634430007,715 6TH AVE NE
634332001,718 NELSON AVE NE
634432016,715 7TH AVE NE
634332006,717 1ST AVE NE
634333001,718 1ST AVE NE
634405001,715 2ND AVE NE
634406001,716 2ND AVE NE
634406006,719 3RD AVE NE
634407001,716 3RD AVE NE
634407002,307 8TH ST NE
634407003,309 8TH ST NE
634407004,717 4TH AVE NE
634408001,716 4TH AVE NE
634408002,715 5TH AVE NE
635301003,706 8TH AVE NE
635301007,810 7TH ST NE
634430001,501 8TH ST NE
635301008,703 9TH AVE NE
634430006,717 6TH AVE NE
635302004,704 9TH AVE NE
634431001,711 7TH AVE NE
634432015, 7TH AVE NE
634432002,715 8TH ST NE
634432003,713 8TH AVE NE
634326002,803 CENTER AVE NE
634328001,801 1ST AVE NE
635302002,710 9TH AVE NE
634403002,302 8TH ST NE
635301002,710 8TH AVE NE
634401002,801 2ND AVE NE
634327002,78 8TH ST NE
634329001,800 1ST AVE NE
634402005,200 8TH ST NE
634402004,801 3RD AVE NE
634327001,800 CENTER AVE NE
635301001,714 8TH AVE NE
635301005,809 8TH ST NE
635301006,815 8TH ST NE
635302005,712 9TH AVE NE
635302006, 10TH AVE NE
634190007,800 NELSON AVE NE
635303009,1000 7TH ST NE
634190005,807 1ST AVE NE
635303010,1010 7TH ST NE
634401001,110 8TH ST NE
634403001,802 3RD AVE NE
634266002,805 2ND AVE NE
634267004,808 2ND AVE NE
634267007,805 3RD AVE NE
634403003,310 8TH ST NE
634404001,402 8TH ST NE
