"GEOID","NAME","pop20","pop10","pop00","prc_change","change_label","under18E","under18M","over65E","over65M","prc_under18E","prc_under18M","prc_over65E","prc_over65M","age_label","med_ageE","med_ageM","total_unitsE","total_unitsM","occupied_unitsE","occupied_unitsM","vacant_unitsE","vacant_unitsM","owner_occupiedE","owner_occupiedM","renter_occupiedE","renter_occupiedM","median_house_valueE","median_house_valueM","median_year_builtE","median_year_builtM","median_house_ageE","median_house_ageM","home_ownership_rateE","home_ownership_rateM","vacancy_rateE","vacancy_rateM","rental_rateE","rental_rateM","Residential","Ag.Land","Ag.Building","Commercial","Industrial","total_workforceE","total_workforceM","unemployedE","unemployedM","prc_unemployed","unemployed_moe","totalE","totalM","travelE","travelM","prc_travel","travel_moe"
"1940890","Keomah Village",110,84,97,0.118181818181818,"Growing",24,28.8790581563873,38,4.76423674661435,0.19672131147541,0.247747946830563,0.311475409836066,0.122173708552546,"Aging",51.8,16.6,50,18,47,17,3,4,46,18,1,2,47,17,1972,8,51,8,0.978723404255319,0.521529663316243,0.06,0.0828647090141515,0.0212765957446809,0.0432434883986935,NA,NA,NA,NA,NA,44,32,0,10,0,0.227272727272727,44,32,42,32,0.954545454545455,1.00541529426417
"1940935","Keosauqua",936,1006,1066,-0.138888888888889,"Shrinking",129,46.1952378498044,356,9.84487857514361,0.1438127090301,0.0551890691067522,0.396878483835006,0.0558406142006739,"Aging",55.1,5.2,460,58,401,54,59,32,262,45,139,35,401,54,1971,4,52,4,0.653366583541147,0.142599026428624,0.128260869565217,0.0714202617497393,0.346633416458853,0.098979914737883,45320821,440513,15020,16449148,8125578,349,81,21,20,0.0601719197707736,0.0589837075495176,311,77,101,37,0.32475884244373,0.143594301641917
"1940980","Keota",897,1009,1025,-0.142697881828317,"Shrinking",226,56.771471708949,173,8.26157864804003,0.25364758698092,0.072243320182471,0.194163860830528,0.0276638147715521,"Young",38.4,7.5,436,60,402,57,34,23,328,54,74,34,402,57,1959,8,64,8,0.81592039800995,0.177280375426159,0.0779816513761468,0.0538327767360309,0.18407960199005,0.0885129486914118,39445070,284570,13228,10389302,2059551,494,89,3,4,0.00607287449392713,0.00817074989306108,491,89,404,79,0.822810590631365,0.219389525572812
"1941070","Keswick",242,246,295,-0.21900826446281,"Shrinking",94,31.1126983722081,60,5.72486093093527,0.312292358803987,0.122261958985004,0.199335548172757,0.0458138238706986,"Young",35.2,15.2,117,26,104,23,13,11,68,18,36,17,104,23,NA,NA,NA,NA,0.653846153846154,0.22553259725899,0.111111111111111,0.0972053348768605,0.346153846153846,0.180499516124676,6425216,280876,3776,2811241,0,111,33,0,10,0,0.0900900900900901,109,33,94,31,0.862385321100917,0.386073805378534
"1941115","Keystone",599,622,687,-0.146911519198664,"Shrinking",156,46.5080638169339,140,7.33093474988255,0.237082066869301,0.0791061837741222,0.212765957446809,0.033771649981031,"Young",38.8,8.3,285,47,259,47,26,19,198,38,61,28,259,47,NA,NA,NA,NA,0.764478764478765,0.201919832911629,0.0912280701754386,0.0683431438382961,0.235521235521236,0.116249805143009,29703207,302697,14873,9832012,0,274,45,4,4,0.0145985401459854,0.014794110940299,270,44,199,41,0.737037037037037,0.193611297196536
"1941295","Kimballton",291,322,342,-0.175257731958763,"Shrinking",73,26.7020598456374,63,5.88551475098127,0.290836653386454,0.124275793742374,0.250996015936255,0.0601973719577736,"Young",39.8,17.2,132,31,103,27,29,23,73,20,30,18,103,27,NA,NA,NA,NA,0.70873786407767,0.268738061097546,0.21969696969697,0.18172098963385,0.29126213592233,0.190707815721612,NA,NA,NA,NA,NA,93,32,5,7,0.0537634408602151,0.0775088190931615,86,28,75,27,0.872093023255814,0.423305046508918
"1941385","Kingsley",1396,1411,1245,0.108166189111748,"Growing",373,75.9407663906548,319,9.12700496829665,0.260293091416609,0.0586697257658801,0.222609909281228,0.0224521079779005,"Young",42.5,4.5,641,66,623,67,18,18,494,59,129,51,623,67,1972,7,51,7,0.792937399678973,0.127438710270077,0.0280811232449298,0.0282295833577285,0.207062600321027,0.0848366695070699,89890583,1135062,23362,25772100,5004,763,110,4,6,0.00524246395806029,0.00789993283415697,741,111,464,93,0.626180836707153,0.156685300563034
"1941430","Kingston CDP",81,NA,NA,NA,NA,0,28.2842712474619,0,6.99927102316117,0,1.66378066161541,0,0.411721824891833,"Stable",NA,NA,9,13,9,13,0,10,9,13,0,10,9,13,NA,NA,NA,NA,1,2.0427529234278,0,1.11111111111111,0,1.11111111111111,NA,NA,NA,NA,NA,17,25,0,10,0,0.588235294117647,17,25,17,25,1,2.07972582701926
"1941475","Kinross",80,73,80,0,"Stable",13,22.4499443206436,23,6.78968340911579,0.191176470588235,0.337404412806822,0.338235294117647,0.158543400692794,"Aging",46,27.3,37,18,33,18,4,6,33,18,0,10,33,18,NA,NA,NA,NA,1,0.77138921583987,0.108108108108108,0.170477577841724,0,0.303030303030303,2075808,125056,3369,38016,0,28,17,2,5,0.0714285714285714,0.183762025137265,25,12,23,12,0.92,0.65223504965618
"1941520","Kirkman",56,64,76,-0.357142857142857,"Shrinking",14,25.4361946839538,21,5.89244104279488,0.181818181818182,0.33916780336376,0.272727272727273,0.138397837111558,"Aging",29.8,35.6,36,15,25,9,11,13,21,9,4,5,25,9,NA,NA,NA,NA,0.84,0.470155038258658,0.305555555555556,0.382897240312896,0.16,0.208129190648501,2024119,322835,17222,24497,0,45,24,3,6,0.0666666666666667,0.137992663966756,42,24,42,24,1,0.808122035641769
"1941565","Kirkville",157,167,214,-0.363057324840764,"Shrinking",52,30.1827765455731,20,6.29081842141921,0.208,0.141049811116499,0.08,0.0376833111944834,"Young",39.6,8.1,99,34,81,30,18,18,67,28,14,15,81,30,1972,7,51,7,0.827160493827161,0.461895895262437,0.181818181818182,0.192241854237487,0.172839506172839,0.195937300969966,62849528,295863,52044,8296616,5704821,123,76,2,4,0.016260162601626,0.0340369262489629,119,76,112,73,0.941176470588235,0.858848884963603
"1941610","Kiron",267,279,273,-0.0224719101123595,"Shrinking",116,60.5805249234438,54,4.63024227833621,0.424908424908425,0.252259196837174,0.197802197802198,0.0583654529348606,"Young",26.8,36.1,115,26,99,24,16,13,67,18,32,17,99,24,1955,9,68,9,0.676767676767677,0.244898223369003,0.139130434782609,0.117338319717001,0.323232323232323,0.188751092620047,6174433,239061,230838,1811610,0,86,30,2,3,0.0232558139534884,0.0358146133931489,82,30,67,28,0.817073170731707,0.453823683174386
