address,city,state,source,city_id,image_name,image_url,lon,lat,date,parcel_num,floors_num,bedrooms_num,bathrooms_num,basement,heating,cooling,yr_built,own_v_rent,age_tenants,tenants_num,type_property,sqft,curr_price,prev_price,county,clear_image,test_failed,rand_select,vegetation,vegetation_confidence,siding,siding_confidence,gutter,gutter_confidence,roof,roof_confidence,img_used
1805 8TH AVE NE,Independence,Iowa,G,D,G_I_1805 8TH AVE NE.png,"https://maps.googleapis.com/maps/api/streetview?size=800x800&location=1805+8TH+AVE+NE,Independence+Iowa",-91.884921,42.488009,,,,,,,,,,,,,,,,,,True,,False,garden_present,40.04,poor_siding,34.71,good_gutter,66.95,False,0.0,G_D_1805 8TH AVE NE_
2064 JAMESTOWN AVE,Independence,Iowa,G,D,G_I_2064 JAMESTOWN AVE.png,"https://maps.googleapis.com/maps/api/streetview?size=800x800&location=2064+JAMESTOWN+AVE,Independence+Iowa",-91.8889005,42.4881238,,,,,,,,,,,,,,,,,,True,,False,garden_present,44.46,poor_siding,36.03,good_gutter,64.1,False,0.0,G_D_2064 JAMESTOWN AVE_
1980 206TH ST,Independence,Iowa,G,D,G_I_1980 206TH ST.png,"https://maps.googleapis.com/maps/api/streetview?size=800x800&location=1980+206TH+ST,Independence+Iowa",-91.8880423,42.4882721,,,,,,,,,,,,,,,,,,True,,False,garden_present,44.74,poor_siding,36.6,good_gutter,58.93,False,0.0,G_D_1980 206TH ST_
1986 206TH ST,Independence,Iowa,G,D,G_I_1986 206TH ST.png,"https://maps.googleapis.com/maps/api/streetview?size=800x800&location=1986+206TH+ST,Independence+Iowa",-91.8873747,42.4882255,,,,,,,,,,,,,,,,,,True,,False,garden_present,37.99,chipped_paint,35.68,good_gutter,70.81,False,0.0,G_D_1986 206TH ST_
1901 8TH AVE NE,Independence,Iowa,G,D,G_I_1901 8TH AVE NE.png,"https://maps.googleapis.com/maps/api/streetview?size=800x800&location=1901+8TH+AVE+NE,Independence+Iowa",-91.884919,42.488298,,,,,,,,,,,,,,,,,,True,,False,garden_present,39.15,poor_siding,36.07,good_gutter,58.95,False,0.0,G_D_1901 8TH AVE NE_
2080 JAMESTOWN AVE,Independence,Iowa,G,D,G_I_2080 JAMESTOWN AVE.png,"https://maps.googleapis.com/maps/api/streetview?size=800x800&location=2080+JAMESTOWN+AVE,Independence+Iowa",-91.8889196,42.4863025,,,,,,,,,,,,,,,,,,True,,False,garden_present,39.17,poor_siding,34.47,good_gutter,70.46,False,0.0,G_D_2080 JAMESTOWN AVE_
2076 JAMESTOWN AVE,Independence,Iowa,G,D,G_I_2076 JAMESTOWN AVE.png,"https://maps.googleapis.com/maps/api/streetview?size=800x800&location=2076+JAMESTOWN+AVE,Independence+Iowa",-91.8890531,42.4867412,,,,,,,,,,,,,,,,,,True,,False,garden_present,44.74,poor_siding,39.4,poor/no_gutter,60.82,False,0.0,G_D_2076 JAMESTOWN AVE_
2074 JAMESTOWN AVE,Independence,Iowa,G,D,G_I_2074 JAMESTOWN AVE.png,"https://maps.googleapis.com/maps/api/streetview?size=800x800&location=2074+JAMESTOWN+AVE,Independence+Iowa",-91.8885763,42.4871516,,,,,,,,,,,,,,,,,,True,,False,garden_present,42.28,poor_siding,38.07,poor/no_gutter,57.1,False,0.0,G_D_2074 JAMESTOWN AVE_
1505 NORTH RIDGE CT NE,Independence,Iowa,G,D,G_I_1505 NORTH RIDGE CT NE.png,"https://maps.googleapis.com/maps/api/streetview?size=800x800&location=1505+NORTH+RIDGE+CT+NE,Independence+Iowa",-91.889034,42.4846905,,,,,,,,,,,,,,,,,,True,,False,garden_present,45.16,chipped_paint,36.09,good_gutter,64.4,False,0.0,G_D_1505 NORTH RIDGE CT NE_
520 12TH ST NE,Independence,Iowa,G,D,G_I_520 12TH ST NE.png,"https://maps.googleapis.com/maps/api/streetview?size=800x800&location=520+12TH+ST+NE,Independence+Iowa",-91.8877371,42.479881,,,,,,,,,,,,,,,,,,False,house_present,False,,0.0,,0.0,,0.0,,0.0,
