address,city,state,source,city_id,image_name,image_url,lon,lat,date,parcel_num,floors_num,bedrooms_num,bathrooms_num,basement,heating,cooling,yr_built,own_v_rent,age_tenants,tenants_num,type_property,sqft,curr_price,prev_price,county,clear_image,test_failed,rand_select,vegetation,vegetation_confidence,siding,siding_confidence,gutter,gutter_confidence,False,roof,roof_confidence,img_used
204 K AVE APT 5,Grundy Center,Iowa,G,G,G_D_204 K AVE APT 5.png,"https://maps.googleapis.com/maps/api/streetview?size=800x800&location=204+K+AVE+APT+5,Grundy+Center+Iowa",-92.7651528,42.3571036,,,,,,,,,,,,,,,,,,True,,False,garden_present,45.81,poor_siding,38.28,poor/no_gutter,59.93,,bad_roof,52.14,G_G_204 K AVE APT 5_
202 I AVE,Grundy Center,Iowa,G,G,G_D_202 I AVE.png,"https://maps.googleapis.com/maps/api/streetview?size=800x800&location=202+I+AVE,Grundy+Center+Iowa",-92.7648553,42.3593991,,,,,,,,,,,,,,,,,,True,,False,garden_present,42.97,chipped_paint,35.68,good_gutter,67.59,,bad_roof,50.37,G_G_202 I AVE_
503 I AVE,Grundy Center,Iowa,G,G,G_D_503 I AVE.png,"https://maps.googleapis.com/maps/api/streetview?size=800x800&location=503+I+AVE,Grundy+Center+Iowa",-92.7704553,42.3599558,,,,,,,,,,,,,,,,,,False,house_present,False,,0.0,,0.0,,0.0,,,0.0,
805 5TH ST,Grundy Center,Iowa,G,G,G_D_805 5TH ST.png,"https://maps.googleapis.com/maps/api/streetview?size=800x800&location=805+5TH+ST,Grundy+Center+Iowa",-92.7702317,42.3600476,,,,,,,,,,,,,,,,,,False,house_present,False,,0.0,,0.0,,0.0,,,0.0,
509 I AVE,Grundy Center,Iowa,G,G,G_D_509 I AVE.png,"https://maps.googleapis.com/maps/api/streetview?size=800x800&location=509+I+AVE,Grundy+Center+Iowa",-92.7709998,42.359789,,,,,,,,,,,,,,,,,,False,house_present,False,,0.0,,0.0,,0.0,,,0.0,
211 K AVE,Grundy Center,Iowa,G,G,G_D_211 K AVE.png,"https://maps.googleapis.com/maps/api/streetview?size=800x800&location=211+K+AVE,Grundy+Center+Iowa",-92.7659052,42.3579141,,,,,,,,,,,,,,,,,,True,,False,garden_present,41.45,poor_siding,35.34,poor/no_gutter,65.06,,good_roof,58.71,G_G_211 K AVE_
402 G AVE,Grundy Center,Iowa,G,G,G_D_402 G AVE.png,"https://maps.googleapis.com/maps/api/streetview?size=800x800&location=402+G+AVE,Grundy+Center+Iowa",-92.7688183,42.3611879,,,,,,,,,,,,,,,,,,True,,False,garden_present,38.75,chipped_paint,36.07,good_gutter,71.69,,good_roof,52.91,G_G_402 G AVE_
311 H AVE,Grundy Center,Iowa,G,G,G_D_311 H AVE.png,"https://maps.googleapis.com/maps/api/streetview?size=800x800&location=311+H+AVE,Grundy+Center+Iowa",-92.7675774,42.3607166,,,,,,,,,,,,,,,,,,True,,False,garden_present,39.43,chipped_paint,34.69,poor/no_gutter,61.09,,good_roof,55.28,G_G_311 H AVE_
316 I AVE,Grundy Center,Iowa,G,G,G_D_316 I AVE.png,"https://maps.googleapis.com/maps/api/streetview?size=800x800&location=316+I+AVE,Grundy+Center+Iowa",-92.7678885,42.3593646,,,,,,,,,,,,,,,,,,True,,False,garden_present,43.26,chipped_paint,36.66,good_gutter,64.27,,bad_roof,51.04,G_G_316 I AVE_
1006 3 ST,Grundy Center,Iowa,G,G,G_D_1006 3 ST.png,"https://maps.googleapis.com/maps/api/streetview?size=800x800&location=1006+3+ST,Grundy+Center+Iowa",-92.7664399,42.358199,,,,,,,,,,,,,,,,,,True,,False,no_garden,39.78,good_siding,34.99,good_gutter,67.86,,bad_roof,57.37,G_G_1006 3 ST_
902 FROST ST,Grundy Center,Iowa,G,G,G_D_902 FROST ST.png,"https://maps.googleapis.com/maps/api/streetview?size=800x800&location=902+FROST+ST,Grundy+Center+Iowa",-92.7670092,42.3592416,,,,,,,,,,,,,,,,,,True,,True,garden_present,42.37,poor_siding,36.52,good_gutter,65.4,,good_roof,52.28,G_G_902 FROST ST_
1102 4TH ST,Grundy Center,Iowa,G,G,G_D_1102 4TH ST.png,"https://maps.googleapis.com/maps/api/streetview?size=800x800&location=1102+4TH+ST,Grundy+Center+Iowa",-92.7680441,42.3574401,,,,,,,,,,,,,,,,,,True,,False,garden_present,46.28,poor_siding,38.6,poor/no_gutter,51.08,,good_roof,55.48,G_G_1102 4TH ST_
105 K AVE,Grundy Center,Iowa,G,G,G_D_105 K AVE.png,"https://maps.googleapis.com/maps/api/streetview?size=800x800&location=105+K+AVE,Grundy+Center+Iowa",-92.7642525,42.3580499,,,,,,,,,,,,,,,,,,True,,False,garden_present,43.31,poor_siding,35.59,good_gutter,65.02,,good_roof,59.28,G_G_105 K AVE_
218 K AVE,Grundy Center,Iowa,G,G,G_D_218 K AVE.png,"https://maps.googleapis.com/maps/api/streetview?size=800x800&location=218+K+AVE,Grundy+Center+Iowa",-92.766508,42.3574578,,,,,,,,,,,,,,,,,,True,,False,garden_present,39.39,chipped_paint,36.13,good_gutter,67.17,,bad_roof,50.05,G_G_218 K AVE_
310 E H AVE,Grundy Center,Iowa,G,G,G_D_310 E H AVE.png,"https://maps.googleapis.com/maps/api/streetview?size=800x800&location=310+E+H+AVE,Grundy+Center+Iowa",-92.7671866,42.3603272,,,,,,,,,,,,,,,,,,True,,False,garden_present,44.17,poor_siding,35.98,good_gutter,63.42,,good_roof,55.03,G_G_310 E H AVE_
