address,city,state,source,city_id,image_name,image_url,lon,lat,date,parcel_num,floors_num,bedrooms_num,bathrooms_num,basement,heating,cooling,yr_built,own_v_rent,age_tenants,tenants_num,type_property,sqft,curr_price,prev_price,county,clear_image,test_failed,rand_select,vegetation,vegetation_confidence,siding,siding_confidence,gutter,gutter_confidence,FALSE,roof,roof_confidence,img_used
105 N BOONE ST,Slater,Iowa,G,S,G_S_105 N BOONE ST.png,"https://maps.googleapis.com/maps/api/streetview?size=800x800&location=105+N+BOONE+ST,Slater+Iowa",-93.685045,41.8834268,,,,,,,,,,,,,,,,,,TRUE,,FALSE,garden_present,41.55,poor_siding,37.07,good_gutter,57.52,,FALSE,0,G_S_105 N BOONE ST_
602 1ST AVE N,Slater,Iowa,G,S,G_S_602 1ST AVE N.png,"https://maps.googleapis.com/maps/api/streetview?size=800x800&location=602+1ST+AVE+N,Slater+Iowa",-93.6854413,41.8835691,,,,,,,,,,,,,,,,,,TRUE,,FALSE,garden_present,38.48,chipped_paint,36.23,good_gutter,69.25,,FALSE,0,G_S_602 1ST AVE N_
507 MAIN ST,Slater,Iowa,G,S,G_S_507 MAIN ST.png,"https://maps.googleapis.com/maps/api/streetview?size=800x800&location=507+MAIN+ST,Slater+Iowa",-93.6842524,41.8829874,,,,,,,,,,,,,,,,,,TRUE,,FALSE,garden_present,38.71,poor_siding,35.91,good_gutter,59.61,,FALSE,0,G_S_507 MAIN ST_
105 N STORY ST,Slater,Iowa,G,S,G_S_105 N STORY ST.png,"https://maps.googleapis.com/maps/api/streetview?size=800x800&location=105+N+STORY+ST,Slater+Iowa",-93.6836977,41.8834312,,,,,,,,,,,,,,,,,,TRUE,,FALSE,garden_present,37.59,poor_siding,35.1,good_gutter,65.93,,FALSE,0,G_S_105 N STORY ST_
500 STORY ST,Slater,Iowa,G,S,G_S_500 STORY ST.png,"https://maps.googleapis.com/maps/api/streetview?size=800x800&location=500+STORY+ST,Slater+Iowa",-93.6831825,41.8785667,,,,,,,,,,,,,,,,,,TRUE,,FALSE,garden_present,48.4,poor_siding,39.4,good_gutter,51.48,,FALSE,0,G_S_500 STORY ST_
504 STORY ST,Slater,Iowa,G,S,G_S_504 STORY ST.png,"https://maps.googleapis.com/maps/api/streetview?size=800x800&location=504+STORY+ST,Slater+Iowa",-93.6832023,41.8783143,,,,,,,,,,,,,,,,,,FALSE,house_present,FALSE,,0,,0,,0,,,0,
305 6TH AVE,Slater,Iowa,G,S,G_S_305 6TH AVE.png,"https://maps.googleapis.com/maps/api/streetview?size=800x800&location=305+6TH+AVE,Slater+Iowa",-93.681716,41.8780374,,,,,,,,,,,,,,,,,,TRUE,,FALSE,garden_present,49.29,poor_siding,40.88,poor/no_gutter,71.64,,FALSE,0,G_S_305 6TH AVE_
500 MARSHALL ST,Slater,Iowa,G,S,G_S_500 MARSHALL ST.png,"https://maps.googleapis.com/maps/api/streetview?size=800x800&location=500+MARSHALL+ST,Slater+Iowa",-93.6818551,41.8785123,,,,,,,,,,,,,,,,,,FALSE,house_present,FALSE,,0,,0,,0,,,0,
505 TAMA ST,Slater,Iowa,G,S,G_S_505 TAMA ST.png,"https://maps.googleapis.com/maps/api/streetview?size=800x800&location=505+TAMA+ST,Slater+Iowa",-93.6810824,41.878324,,,,,,,,,,,,,,,,,,FALSE,house_present,FALSE,,0,,0,,0,,,0,
509 BENTON ST,Slater,Iowa,G,S,G_S_509 BENTON ST.png,"https://maps.googleapis.com/maps/api/streetview?size=800x800&location=509+BENTON+ST,Slater+Iowa",-93.6797748,41.8780558,,,,,,,,,,,,,,,,,,TRUE,,FALSE,garden_present,42.87,poor_siding,40.95,poor/no_gutter,69.59,,FALSE,0,G_S_509 BENTON ST_
501 BENTON ST,Slater,Iowa,G,S,G_S_501 BENTON ST.png,"https://maps.googleapis.com/maps/api/streetview?size=800x800&location=501+BENTON+ST,Slater+Iowa",-93.6797352,41.8785607,,,,,,,,,,,,,,,,,,FALSE,house_present,FALSE,,0,,0,,0,,,0,
404 STORY ST,Slater,Iowa,G,S,G_S_404 STORY ST.png,"https://maps.googleapis.com/maps/api/streetview?size=800x800&location=404+STORY+ST,Slater+Iowa",-93.6831231,41.879324,,,,,,,,,,,,,,,,,,TRUE,,FALSE,garden_present,44.51,poor_siding,38.47,poor/no_gutter,71.56,,FALSE,0,G_S_404 STORY ST_
401 5TH AVE,Slater,Iowa,G,S,G_S_401 5TH AVE.png,"https://maps.googleapis.com/maps/api/streetview?size=800x800&location=401+5TH+AVE,Slater+Iowa",-93.6824891,41.8789569,,,,,,,,,,,,,,,,,,TRUE,,FALSE,garden_present,47.65,poor_siding,37.11,good_gutter,66.61,,FALSE,0,G_S_401 5TH AVE_
405 TAMA ST,Slater,Iowa,G,S,G_S_405 TAMA ST.png,"https://maps.googleapis.com/maps/api/streetview?size=800x800&location=405+TAMA+ST,Slater+Iowa",-93.6810626,41.879235,,,,,,,,,,,,,,,,,,TRUE,,FALSE,garden_present,48.53,poor_siding,41.82,poor/no_gutter,68.95,,FALSE,0,G_S_405 TAMA ST_
410 TAMA ST,Slater,Iowa,G,S,G_S_410 TAMA ST.png,"https://maps.googleapis.com/maps/api/streetview?size=800x800&location=410+TAMA+ST,Slater+Iowa",-93.6804881,41.8789241,,,,,,,,,,,,,,,,,,FALSE,house_present,FALSE,,0,,0,,0,,,0,
400 TAMA ST,Slater,Iowa,G,S,G_S_400 TAMA ST.png,"https://maps.googleapis.com/maps/api/streetview?size=800x800&location=400+TAMA+ST,Slater+Iowa",-93.6805079,41.8794851,,,,,,,,,,,,,,,,,,TRUE,,FALSE,garden_present,43.04,poor_siding,37.11,poor/no_gutter,67.32,,FALSE,0,G_S_400 TAMA ST_
403 4TH AVE,Slater,Iowa,G,S,G_S_403 4TH AVE.png,"https://maps.googleapis.com/maps/api/streetview?size=800x800&location=403+4TH+AVE,Slater+Iowa",-93.6824891,41.8799641,,,,,,,,,,,,,,,,,,TRUE,,FALSE,garden_present,45.27,poor_siding,40.07,poor/no_gutter,69.28,,FALSE,0,G_S_403 4TH AVE_
