address,city,state,source,city_id,image_name,image_url,lon,lat,date,parcel_num,floors_num,bedrooms_num,bathrooms_num,basement,heating,cooling,yr_built,own_v_rent,age_tenants,tenants_num,type_property,sqft,curr_price,prev_price,county,clear_image,test_failed,rand_select,vegetation,vegetation_confidence,siding,siding_confidence,gutter,gutter_confidence,roof,roof_confidence,img_used
315 W WASHINGTON ST,New Hampton,Iowa,G,H,G_H_315 W WASHINGTON ST.png,"https://maps.googleapis.com/maps/api/streetview?size=800x800&location=315+W+WASHINGTON+ST,New+Hampton+Iowa",-92.3200631,43.0630914,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
306 N WALNUT AVE,New Hampton,Iowa,G,H,G_H_306 N WALNUT AVE.png,"https://maps.googleapis.com/maps/api/streetview?size=800x800&location=306+N+WALNUT+AVE,New+Hampton+Iowa",-92.3168665,43.0623979,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11 W COURT ST,New Hampton,Iowa,G,H,G_H_11 W COURT ST.png,"https://maps.googleapis.com/maps/api/streetview?size=800x800&location=11+W+COURT+ST,New+Hampton+Iowa",-92.3160963,43.0613142,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
510 N BROADWAY AVE,New Hampton,Iowa,G,H,G_H_510 N BROADWAY AVE.png,"https://maps.googleapis.com/maps/api/streetview?size=800x800&location=510+N+BROADWAY+AVE,New+Hampton+Iowa",-92.3194276,43.0642982,,,,,,,,,,,,,,,,,,False,house_present,False,,0.0,,0.0,,0.0,,0.0,
411 E PROSPECT ST,New Hampton,Iowa,G,H,G_H_411 E PROSPECT ST.png,"https://maps.googleapis.com/maps/api/streetview?size=800x800&location=411+E+PROSPECT+ST,New+Hampton+Iowa",-92.3100504,43.0600715,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
212 N CHESTNUT AVE,New Hampton,Iowa,G,H,G_H_212 N CHESTNUT AVE.png,"https://maps.googleapis.com/maps/api/streetview?size=800x800&location=212+N+CHESTNUT+AVE,New+Hampton+Iowa",-92.3157112,43.0618527,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
209 N CHESTNUT AVE,New Hampton,Iowa,G,H,G_H_209 N CHESTNUT AVE.png,"https://maps.googleapis.com/maps/api/streetview?size=800x800&location=209+N+CHESTNUT+AVE,New+Hampton+Iowa",-92.3150565,43.0616764,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9 N LOCUST AVE,New Hampton,Iowa,G,H,G_H_9 N LOCUST AVE.png,"https://maps.googleapis.com/maps/api/streetview?size=800x800&location=9+N+LOCUST+AVE,New+Hampton+Iowa",-92.3138242,43.0596543,,,,,,,,,,,,,,,,,,True,,False,no_garden,38.29,chipped_paint,35.74,poor/no_gutter,59.32,False,0.0,G_H_9 N LOCUST AVE_
306 E WASHINGTON ST,New Hampton,Iowa,G,H,G_H_306 E WASHINGTON ST.png,"https://maps.googleapis.com/maps/api/streetview?size=800x800&location=306+E+WASHINGTON+ST,New+Hampton+Iowa",-92.310628,43.0632438,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
105 N WALNUT AVE,New Hampton,Iowa,G,H,G_H_105 N WALNUT AVE.png,"https://maps.googleapis.com/maps/api/streetview?size=800x800&location=105+N+WALNUT+AVE,New+Hampton+Iowa",-92.3163274,43.0606273,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
316 N CHESTNUT AVE,New Hampton,Iowa,G,H,G_H_316 N CHESTNUT AVE.png,"https://maps.googleapis.com/maps/api/streetview?size=800x800&location=316+N+CHESTNUT+AVE,New+Hampton+Iowa",-92.3156534,43.0627825,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
607 N BROADWAY AVE,New Hampton,Iowa,G,H,G_H_607 N BROADWAY AVE.png,"https://maps.googleapis.com/maps/api/streetview?size=800x800&location=607+N+BROADWAY+AVE,New+Hampton+Iowa",-92.3188692,43.0651244,,,,,,,,,,,,,,,,,,True,,False,garden_present,40.19,chipped_paint,35.2,good_gutter,61.42,False,0.0,G_H_607 N BROADWAY AVE_
510 N LINN AVE,New Hampton,Iowa,G,H,G_H_510 N LINN AVE.png,"https://maps.googleapis.com/maps/api/streetview?size=800x800&location=510+N+LINN+AVE,New+Hampton+Iowa",-92.3180604,43.0643069,,,,,,,,,,,,,,,,,,True,,False,garden_present,42.35,poor_siding,37.05,good_gutter,64.8,False,0.0,G_H_510 N LINN AVE_
102 N WALNUT AVE,New Hampton,Iowa,G,H,G_H_102 N WALNUT AVE.png,"https://maps.googleapis.com/maps/api/streetview?size=800x800&location=102+N+WALNUT+AVE,New+Hampton+Iowa",-92.316905,43.0604261,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
209 N BROADWAY AVE,New Hampton,Iowa,G,H,G_H_209 N BROADWAY AVE.png,"https://maps.googleapis.com/maps/api/streetview?size=800x800&location=209+N+BROADWAY+AVE,New+Hampton+Iowa",-92.3188692,43.0615615,,,,,,,,,,,,,,,,,,False,house_present,False,,0.0,,0.0,,0.0,,0.0,
611 E JEFFERSON ST,New Hampton,Iowa,G,H,G_H_611 E JEFFERSON ST.png,"https://maps.googleapis.com/maps/api/streetview?size=800x800&location=611+E+JEFFERSON+ST,New+Hampton+Iowa",-92.3067775,43.0635108,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
404 N PLEASANT HILL AVE,New Hampton,Iowa,G,H,G_H_404 N PLEASANT HILL AVE.png,"https://maps.googleapis.com/maps/api/streetview?size=800x800&location=404+N+PLEASANT+HILL+AVE,New+Hampton+Iowa",-92.3090877,43.0633885,,,,,,,,,,,,,,,,,,True,,False,garden_present,46.16,poor_siding,36.43,good_gutter,64.94,False,0.0,G_H_404 N PLEASANT HILL AVE_
717 E JEFFERSON ST,New Hampton,Iowa,G,H,G_H_717 E JEFFERSON ST.png,"https://maps.googleapis.com/maps/api/streetview?size=800x800&location=717+E+JEFFERSON+ST,New+Hampton+Iowa",-92.305035,43.063443,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10 N BROADWAY AVE,New Hampton,Iowa,G,H,G_H_10 N BROADWAY AVE.png,"https://maps.googleapis.com/maps/api/streetview?size=800x800&location=10+N+BROADWAY+AVE,New+Hampton+Iowa",-92.3194084,43.0598449,,,,,,,,,,,,,,,,,,True,,False,garden_present,44.45,poor_siding,39.44,good_gutter,53.51,False,0.0,G_H_10 N BROADWAY AVE_
301 E WASHINGTON ST,New Hampton,Iowa,G,H,G_H_301 E WASHINGTON ST.png,"https://maps.googleapis.com/maps/api/streetview?size=800x800&location=301+E+WASHINGTON+ST,New+Hampton+Iowa",-92.3109553,43.0628013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
510 N PLEASANT HILL AVE,New Hampton,Iowa,G,H,G_H_510 N PLEASANT HILL AVE.png,"https://maps.googleapis.com/maps/api/streetview?size=800x800&location=510+N+PLEASANT+HILL+AVE,New+Hampton+Iowa",-92.3090492,43.0645643,,,,,,,,,,,,,,,,,,True,,False,garden_present,42.01,poor_siding,41.28,poor/no_gutter,62.72,False,0.0,G_H_510 N PLEASANT HILL AVE_
