Address,City,Source,City ID,Image Name,image url,API Key,date,parcel_num,floors_num,bedrooms_num,bathrooms_num,basement,heating,cooling,yr_built,own_v_rent,age_tenants,tenants_num,type_property,sqft,curr_price,prev_price,county
 304 9TH AVE ,Slater,G,S,G_S_304 9TH AVE.png,"https://maps.googleapis.com/maps/api/streetview?size=800x800&location=304+9TH+AVE,+SLATER+IOWA",,,,,,,,,,,,,,,,,,
 403 9TH AVE ,Slater,G,S,G_S_403 9TH AVE.png,"https://maps.googleapis.com/maps/api/streetview?size=800x800&location=403+9TH+AVE,+SLATER+IOWA",,,,,,,,,,,,,,,,,,
 207 9TH AVE ,Slater,G,S,G_S_207 9TH AVE.png,"https://maps.googleapis.com/maps/api/streetview?size=800x800&location=207+9TH+AVE,+SLATER+IOWA",,,,,,,,,,,,,,,,,,
 300 9TH AVE ,Slater,G,S,G_S_300 9TH AVE.png,"https://maps.googleapis.com/maps/api/streetview?size=800x800&location=300+9TH+AVE,+SLATER+IOWA",,,,,,,,,,,,,,,,,,
 300 6TH AVE ,Slater,G,S,G_S_300 6TH AVE.png,"https://maps.googleapis.com/maps/api/streetview?size=800x800&location=300+6TH+AVE,+SLATER+IOWA",,,,,,,,,,,,,,,,,,
 600 MARSHALL ST ,Slater,G,S,G_S_600 MARSHALL ST.png,"https://maps.googleapis.com/maps/api/streetview?size=800x800&location=600+MARSHALL+ST,+SLATER+IOWA",,,,,,,,,,,,,,,,,,
 601 MARSHALL ST ,Slater,G,S,G_S_601 MARSHALL ST.png,"https://maps.googleapis.com/maps/api/streetview?size=800x800&location=601+MARSHALL+ST,+SLATER+IOWA",,,,,,,,,,,,,,,,,,
 206 6TH AVE ,Slater,G,S,G_S_206 6TH AVE.png,"https://maps.googleapis.com/maps/api/streetview?size=800x800&location=206+6TH+AVE,+SLATER+IOWA",,,,,,,,,,,,,,,,,,
 813 S CARROLL ST ,Slater,G,S,G_S_813 S CARROLL ST.png,"https://maps.googleapis.com/maps/api/streetview?size=800x800&location=813+S+CARROLL+ST,+SLATER+IOWA",,,,,,,,,,,,,,,,,,
 810 S CARROLL ST ,Slater,G,S,G_S_810 S CARROLL ST.png,"https://maps.googleapis.com/maps/api/streetview?size=800x800&location=810+S+CARROLL+ST,+SLATER+IOWA",,,,,,,,,,,,,,,,,,
