address,city,state,source,city_id,image_url,lon,lat,,clear_image,test_failed,failed_correct,rand_select,vegetation,vegetation_confidence,correct_vegetation,siding,siding_confidence,correct_siding,gutter,gutter_confidence,correct_gutter,roof,roof_confidence,correct_roof,img_used,Comment on Accuracy,,avg_vegetation_confidence,avg_siding_confidence,avg_gutter_confidence,avg_roof_confidence,avg_vegetation_confidence_val,avg_siding_confidence_val,avg_gutter_confidence_val,avg_roof_confidence_val,correct_house_present_prediction,correct_vegetation_prediction,correct_siding_prediction,correct_gutter_prediction,correct_roof_prediction,percent_correct_house_present_prediction,percent_correct_vegetation_prediction,percent_correct_siding_prediction,percent_correct_gutter_prediction,percent_correct_roof_prediction
511 N PLEASANT HILL AVE,New Hampton,Iowa,G,H,"https://maps.googleapis.com/maps/api/streetview?size=800x800&location=511+N+PLEASANT+HILL+AVE,New+Hampton+Iowa",-92.3084139,43.064596,,TRUE,,1,FALSE,garden_present,41.74,1,poor_siding,36.2,0,good_gutter,57.07,1,good_roof,60.61,1,G_H_511 N PLEASANT HILL AVE_,,,,,,,,,,,,,,,,,,,,
119 W SYCAMORE ST,Ogden,Iowa,G,OG,"119 W SYCAMORE ST, Ogden, Iowa",-94.0289772,42.0412547,,TRUE,,1,FALSE,garden_present,49.09,1,poor_siding,39.78,0,good_gutter,68.01,1,good_roof,56.35,1,G_OG_119 W SYCAMORE ST_,,,,,,,,,,,,,,,,,,,,
319 NW 2ND ST,Ogden,Iowa,G,OG,"319 NW 2ND ST, Ogden, Iowa",-94.0292165,42.0417869,,TRUE,,1,FALSE,garden_present,45.07,1,poor_siding,36.44,0,good_gutter,69.47,1,good_roof,56.28,1,G_OG_319 NW 2ND ST_,,,,,,,,,,,,,,,,,,,,
125 W SYCAMORE ST,Ogden,Iowa,G,OG,"125 W SYCAMORE ST, Ogden, Iowa",-94.0292564,42.0412449,,TRUE,,1,FALSE,garden_present,44.92,1,poor_siding,37.81,0,good_gutter,62.03,1,good_roof,51.42,1,G_OG_125 W SYCAMORE ST_,,,,,,,,,,,,,,,,,,,,
207 W MAPLE ST,Ogden,Iowa,G,OG,"207 W MAPLE ST, Ogden, Iowa",-94.0300144,42.0422223,,TRUE,,1,FALSE,garden_present,44.92,1,poor_siding,38.01,0,good_gutter,65.98,1,good_roof,54.46,1,G_OG_207 W MAPLE ST_,,,,,,,,,,,,,,,,,,,,
426 N 1ST ST,Ogden,Iowa,G,OG,"426 N 1ST ST, Ogden, Iowa",-94.0283189,42.042803,,TRUE,,1,FALSE,garden_present,41.6,1,poor_siding,34.75,0,good_gutter,52.31,1,good_roof,54.99,1,G_OG_426 N 1ST ST_,,,,,,,,,,,,,,,,,,,,
402 NW 2ND ST,Ogden,Iowa,G,OG,"402 NW 2ND ST, Ogden, Iowa",-94.0297751,42.0422307,,FALSE,house_present,1,FALSE,,0,,,0,,,0,,,0,,,blurry,,,,,,,,,,,,,,,,,,,
407 NW 3RD ST,Ogden,Iowa,G,OG,"407 NW 3RD ST, Ogden, Iowa",-94.0304732,42.0424186,,TRUE,,1,FALSE,garden_present,48.45,1,poor_siding,37.99,0,poor/no_gutter,64.92,0,good_roof,58.76,1,G_OG_407 NW 3RD ST_,,,,,,,,,,,,,,,,,,,,
125 W MAPLE ST,Ogden,Iowa,G,OG,"125 W MAPLE ST, Ogden, Iowa",-94.0292564,42.0422489,,TRUE,,1,FALSE,garden_present,44.18,1,poor_siding,36.7,0,good_gutter,70.27,1,good_roof,52.89,1,G_OG_125 W MAPLE ST_,,,,,,,,,,,,,,,,,,,,
219 W MAPLE ST,Ogden,Iowa,G,OG,"219 W MAPLE ST, Ogden, Iowa",-94.0304533,42.0422069,,FALSE,house_present,0,FALSE,,0,,,0,,,0,,,0,,,house present,,,,,,,,,,,,,,,,,,,
119 W MAPLE ST,Ogden,Iowa,G,OG,"119 W MAPLE ST, Ogden, Iowa",-94.0290171,42.0422959,,TRUE,,1,FALSE,garden_present,47.14,1,poor_siding,35.98,0,good_gutter,71.12,1,good_roof,54.95,1,G_OG_119 W MAPLE ST_,,,,,,,,,,,,,,,,,,,,
619 W MAPLE ST,Ogden,Iowa,G,OG,"619 W MAPLE ST, Ogden, Iowa",-94.0354425,42.0422698,,FALSE,house_present,1,FALSE,,0,,,0,,,0,,,0,,,not sure about this one it's a bunch of mobile homes,,,,,,,,,,,,,,,,,,,
419 NW 7TH ST,Ogden,Iowa,G,OG,"419 NW 7TH ST, Ogden, Iowa",-94.0360788,42.0426275,,TRUE,,1,FALSE,garden_present,44.56,1,poor_siding,38.39,1,good_gutter,69.35,1,good_roof,57.26,1,G_OG_419 NW 7TH ST_,,,,,,,,,,,,,,,,,,,,
513 NW 3RD ST,Ogden,Iowa,G,OG,"513 NW 3RD ST, Ogden, Iowa",-94.0303934,42.0435797,,TRUE,,1,FALSE,garden_present,46.42,1,poor_siding,39.98,0,poor/no_gutter,66.82,0,good_roof,59.12,1,G_OG_513 NW 3RD ST_,,,,,,,,,,,,,,,,,,,,
513 NW 3RD ST,Ogden,Iowa,G,OG,"513 NW 3RD ST, Ogden, Iowa",-94.0303934,42.0435797,,TRUE,,1,FALSE,garden_present,46.42,,poor_siding,39.98,,poor/no_gutter,66.82,,good_roof,59.12,,G_OG_513 NW 3RD ST_,duplicated,,,,,,,,,,,,,,,,,,,
513 NW 3RD ST,Ogden,Iowa,G,OG,"513 NW 3RD ST, Ogden, Iowa",-94.0303934,42.0435797,,TRUE,,1,FALSE,garden_present,46.42,,poor_siding,39.98,,poor/no_gutter,66.82,,good_roof,59.12,,G_OG_513 NW 3RD ST_,duplicated,,,,,,,,,,,,,,,,,,,
513 NW 3RD ST,Ogden,Iowa,G,OG,"513 NW 3RD ST, Ogden, Iowa",-94.0303934,42.0435797,,TRUE,,1,FALSE,garden_present,46.42,,poor_siding,39.98,,poor/no_gutter,66.82,,good_roof,59.12,,G_OG_513 NW 3RD ST_,duplicated,,,,,,,,,,,,,,,,,,,
513 NW 3RD ST,Ogden,Iowa,G,OG,"513 NW 3RD ST, Ogden, Iowa",-94.0303934,42.0435797,,TRUE,,1,FALSE,garden_present,46.42,,poor_siding,39.98,,poor/no_gutter,66.82,,good_roof,59.12,,G_OG_513 NW 3RD ST_,duplicated,,,,,,,,,,,,,,,,,,,
620 N 5TH ST,Ogden,Iowa,G,OG,"620 N 5TH ST, Ogden, Iowa",-94.0336051,42.0447606,,TRUE,,1,FALSE,garden_present,47.08,1,poor_siding,39.98,0,good_gutter,50.58,0,good_roof,55.28,1,G_OG_620 N 5TH ST_,,,,,,,,,,,,,,,,,,,,
120 W ELM ST,Ogden,Iowa,G,OG,"120 W ELM ST, Ogden, Iowa",-94.0288774,42.0427834,,TRUE,,1,FALSE,garden_present,43.99,1,poor_siding,39.37,0,good_gutter,53.52,1,good_roof,59.28,1,G_OG_120 W ELM ST_,,,,,,,,,,,,,,,,,,,,
626 W ELM ST,Ogden,Iowa,G,OG,"626 W ELM ST, Ogden, Iowa",-94.0358394,42.0427903,,FALSE,house_present,0,FALSE,,0,,,0,,,0,,,0,,,very visible house,,,,,,,,,,,,,,,,,,,
407 NW 7TH ST,Ogden,Iowa,G,OG,"407 NW 7TH ST, Ogden, Iowa",-94.0359424,42.0422943,,TRUE,,0,FALSE,garden_present,42.72,,poor_siding,38.81,,good_gutter,70.47,,good_roof,57.88,,G_OG_407 NW 7TH ST_,not a house,,,,,,,,,,,,,,,,,,,
513 NW 3RD ST,Ogden,Iowa,G,OG,"513 NW 3RD ST, Ogden, Iowa",-94.0303934,42.0435797,,TRUE,,1,FALSE,garden_present,46.42,,poor_siding,39.98,,poor/no_gutter,66.82,,good_roof,59.12,,G_OG_513 NW 3RD ST_,duplicated,,,,,,,,,,,,,,,,,,,
101 W SYCAMORE ST,Ogden,Iowa,G,OG,"101 W SYCAMORE ST, Ogden, Iowa",-94.0283389,42.0413157,,FALSE,house_present,1,FALSE,,0,,,0,,,0,,,0,,,poorly obstructed,,,,,,,,,,,,,,,,,,,
407 W SYCAMORE ST,Ogden,Iowa,G,OG,"407 W SYCAMORE ST, Ogden, Iowa",-94.0326875,42.0412791,,FALSE,house_present,0,FALSE,,0,,,0,,,0,,,0,,,,,,,,,,,,,,,,,,,,,,
320 NW 5TH ST,Ogden,Iowa,G,OG,"320 NW 5TH ST, Ogden, Iowa",-94.0336051,42.0418262,,TRUE,,1,FALSE,garden_present,39.74,0,poor_siding,36.57,0,good_gutter,71.54,1,good_roof,51.94,0,G_OG_320 NW 5TH ST_,,,,,,,,,,,,,,,,,,,,
701 BENTON CIR,Slater,Iowa,G,S,"https://maps.googleapis.com/maps/api/streetview?size=800x800&location=701+BENTON+CIR,Slater+Iowa",-93.6792994,41.8756303,,FALSE,house_present,0,FALSE,,0,,,0,,,0,,,0,,,very visible house,,,,,,,,,,,,,,,,,,,
637 GREENE ST,Slater,Iowa,G,S,"https://maps.googleapis.com/maps/api/streetview?size=800x800&location=637+GREENE+ST,Slater+Iowa",-93.6856592,41.8756012,,TRUE,,1,FALSE,garden_present,44.61,1,poor_siding,37.23,0,good_gutter,64.46,1,good_roof,50.65,1,G_S_637 GREENE ST_,,,,,,,,,,,,,,,,,,,,
705 TAMA CIR,Slater,Iowa,G,S,"https://maps.googleapis.com/maps/api/streetview?size=800x800&location=705+TAMA+CIR,Slater+Iowa",-93.6812211,41.8754333,,TRUE,,1,FALSE,garden_present,39.67,1,poor_siding,36.63,0,good_gutter,68.12,1,good_roof,56.37,1,G_S_705 TAMA CIR_,,,,,,,,,,,,,,,,,,,,
608 8TH AVE,Slater,Iowa,G,S,"https://maps.googleapis.com/maps/api/streetview?size=800x800&location=608+8TH+AVE,Slater+Iowa",-93.6861347,41.8751211,,TRUE,,1,FALSE,garden_present,40.06,1,chipped_paint,36.24,0,good_gutter,67.95,1,good_roof,54.55,1,G_S_608 8TH AVE_,,,,,,,,,,,,,,,,,,,,
604 8TH AVE,Slater,Iowa,G,S,"https://maps.googleapis.com/maps/api/streetview?size=800x800&location=604+8TH+AVE,Slater+Iowa",-93.6855007,41.8749089,,TRUE,,1,FALSE,garden_present,39.97,1,poor_siding,37.16,0,good_gutter,68.12,1,good_roof,56.62,1,G_S_604 8TH AVE_,,,,,,,,,,,,,,,,,,,,
202 8TH AVE,Slater,Iowa,G,S,"https://maps.googleapis.com/maps/api/streetview?size=800x800&location=202+8TH+AVE,Slater+Iowa",-93.6803494,41.8749188,,TRUE,,1,FALSE,garden_present,47.64,1,poor_siding,40.88,0,poor/no_gutter,55.62,0,good_roof,55.9,1,G_S_202 8TH AVE_,,,,,,,,,,,,,,,,,,,,
104 8TH AVE,Slater,Iowa,G,S,"https://maps.googleapis.com/maps/api/streetview?size=800x800&location=104+8TH+AVE,Slater+Iowa",-93.6795371,41.8749254,,TRUE,,1,FALSE,garden_present,49.36,1,poor_siding,37.93,0,poor/no_gutter,55.37,0,good_roof,51.52,1,G_S_104 8TH AVE_,,,,,,,,,,,,,,,,,,,,
706 MARSHALL ST,Slater,Iowa,G,S,"https://maps.googleapis.com/maps/api/streetview?size=800x800&location=706+MARSHALL+ST,Slater+Iowa",-93.6817957,41.8756668,,TRUE,,1,FALSE,garden_present,45.95,1,poor_siding,37.03,0,good_gutter,55.08,1,good_roof,61.42,1,G_S_706 MARSHALL ST_,,,,,,,,,,,,,,,,,,,,
900 FOUR MILE DR,Slater,Iowa,G,S,"https://maps.googleapis.com/maps/api/streetview?size=800x800&location=900+FOUR+MILE+DR,Slater+Iowa",-93.6875019,41.8755228,,FALSE,house_present,0,FALSE,,0,,,0,,,0,,,0,,,very visible house,,,,,,,,,,,,,,,,,,,
638 GREENE ST,Slater,Iowa,G,S,"https://maps.googleapis.com/maps/api/streetview?size=800x800&location=638+GREENE+ST,Slater+Iowa",-93.6850252,41.8756215,,FALSE,house_present,0,FALSE,,0,,,0,,,0,,,0,,,very visible house,,,,,,,,,,,,,,,,,,,
700 TAMA CIR,Slater,Iowa,G,S,"https://maps.googleapis.com/maps/api/streetview?size=800x800&location=700+TAMA+CIR,Slater+Iowa",-93.6805871,41.8753761,,TRUE,,1,FALSE,garden_present,42.93,1,poor_siding,37.38,0,good_gutter,67.17,1,good_roof,60.08,1,G_S_700 TAMA CIR_,,,,,,,,,,,,,,,,,,,,
705 BENTON CIR,Slater,Iowa,G,S,"https://maps.googleapis.com/maps/api/streetview?size=800x800&location=705+BENTON+CIR,Slater+Iowa",-93.6799531,41.8753964,,TRUE,,1,FALSE,garden_present,48.05,1,poor_siding,36.99,0,good_gutter,63.53,1,good_roof,54.92,1,G_S_705 BENTON CIR_,,,,,,,,,,,,,,,,,,,,
700 BENTON CIR,Slater,Iowa,G,S,"https://maps.googleapis.com/maps/api/streetview?size=800x800&location=700+BENTON+CIR,Slater+Iowa",-93.679339,41.8753966,,FALSE,house_present,0,FALSE,,0,,,0,,,0,,,0,,,very visible house,,,,,,,,,,,,,,,,,,,
610 8TH AVE,Slater,Iowa,G,S,"https://maps.googleapis.com/maps/api/streetview?size=800x800&location=610+8TH+AVE,Slater+Iowa",-93.6864518,41.8751884,,TRUE,,1,FALSE,garden_present,41.31,1,chipped_paint,36.57,0,good_gutter,69.94,1,good_roof,50.59,1,G_S_610 8TH AVE_,,,,,,,,,,,,,,,,,,,,
204 8TH AVE,Slater,Iowa,G,S,"https://maps.googleapis.com/maps/api/streetview?size=800x800&location=204+8TH+AVE,Slater+Iowa",-93.6805871,41.8749112,,TRUE,,1,FALSE,garden_present,45.41,1,poor_siding,37.14,0,good_gutter,68.78,1,good_roof,56.19,1,G_S_204 8TH AVE_,,,,,,,,,,,,,,,,,,,,
614 8TH AVE,Slater,Iowa,G,S,"https://maps.googleapis.com/maps/api/streetview?size=800x800&location=614+8TH+AVE,Slater+Iowa",-93.6869867,41.8753844,,TRUE,,1,FALSE,garden_present,40.93,1,poor_siding,36.48,0,good_gutter,69.38,0,good_roof,50.96,1,G_S_614 8TH AVE_,,,,,,,,,,,,,,,,,,,,
708 MARSHALL ST,Slater,Iowa,G,S,"https://maps.googleapis.com/maps/api/streetview?size=800x800&location=708+MARSHALL+ST,Slater+Iowa",-93.6817957,41.8753956,,TRUE,,1,FALSE,garden_present,47.71,1,poor_siding,39.54,0,good_gutter,59.59,1,good_roof,56.58,1,G_S_708 MARSHALL ST_,,,,,,,,,,,,,,,,,,,,
101 8TH AVE,Slater,Iowa,G,S,"https://maps.googleapis.com/maps/api/streetview?size=800x800&location=101+8TH+AVE,Slater+Iowa",-93.6788635,41.8754893,,TRUE,,1,FALSE,garden_present,38.15,1,poor_siding,36.42,0,good_gutter,68.9,0,good_roof,54.28,1,G_S_101 8TH AVE_,,,,,,,,,,,,,,,,,,,,
100 8TH AVE,Slater,Iowa,G,S,"https://maps.googleapis.com/maps/api/streetview?size=800x800&location=100+8TH+AVE,Slater+Iowa",-93.6787843,41.8749107,,TRUE,,1,FALSE,garden_present,48.55,1,poor_siding,38.22,0,good_gutter,65.42,1,good_roof,60.89,1,G_S_100 8TH AVE_,,,,,,,,,,,,,,,,,,,,
305 9TH AVE,Slater,Iowa,G,S,"https://maps.googleapis.com/maps/api/streetview?size=800x800&location=305+9TH+AVE,Slater+Iowa",-93.6818353,41.874542,,TRUE,,1,FALSE,garden_present,43.05,0,poor_siding,36.67,0,good_gutter,50.85,1,good_roof,57.29,1,G_S_305 9TH AVE_,,,,,,,,,,,,,,,,,,,,
804 S CARROLL ST,Slater,Iowa,G,S,"https://maps.googleapis.com/maps/api/streetview?size=800x800&location=804+S+CARROLL+ST,Slater+Iowa",-93.6875416,41.8771875,,TRUE,,1,FALSE,garden_present,40,1,poor_siding,36.5,0,good_gutter,70.23,1,good_roof,55.22,1,G_S_804 S CARROLL ST_,,,,,,,,,,,,,,,,,,,,
605 MARSHALL ST,Slater,Iowa,G,S,"https://maps.googleapis.com/maps/api/streetview?size=800x800&location=605+MARSHALL+ST,Slater+Iowa",-93.6824297,41.8772736,,TRUE,,1,FALSE,garden_present,39.61,0,poor_siding,35.96,0,good_gutter,67.97,1,good_roof,50.25,1,G_S_605 MARSHALL ST_,,,,,,,,,,,,,,,,,,,,
807 S CARROLL ST,Slater,Iowa,G,S,"https://maps.googleapis.com/maps/api/streetview?size=800x800&location=807+S+CARROLL+ST,Slater+Iowa",-93.6883341,41.8771621,,TRUE,,1,FALSE,no_garden,38.91,1,chipped_paint,35.91,0,good_gutter,70.55,1,good_roof,50.1,1,G_S_807 S CARROLL ST_,,,,,,,,,,,,,,,,,,,,
811 S CARROLL ST,Slater,Iowa,G,S,"https://maps.googleapis.com/maps/api/streetview?size=800x800&location=811+S+CARROLL+ST,Slater+Iowa",-93.6879378,41.8767486,,TRUE,,1,FALSE,garden_present,38.43,1,chipped_paint,35.81,0,good_gutter,71.79,1,good_roof,53.42,1,G_S_811 S CARROLL ST_,,,,,,,,,,,,,,,,,,,,
108 10TH AVE,Slater,Iowa,G,S,"https://maps.googleapis.com/maps/api/streetview?size=800x800&location=108+10TH+AVE,Slater+Iowa",-93.6799531,41.8733042,,TRUE,,1,FALSE,garden_present,43.79,1,poor_siding,36.9,0,poor/no_gutter,63.85,0,good_roof,54.24,1,G_S_108 10TH AVE_,,,,,,,,,,,,,,,,,,,,
