address,city,state,source,city_id,image_url,lon,lat,,clear_image,test_failed,failed_correct,rand_select,vegetation,vegetation_confidence,correct_vegetation,siding,siding_confidence,correct_siding,gutter,gutter_confidence,correct_gutter,roof,roof_confidence,correct_roof,img_used,Comment on Accuracy,,avg_vegetation_confidence,avg_siding_confidence,avg_gutter_confidence,avg_roof_confidence,avg_vegetation_confidence_val,avg_siding_confidence_val,avg_gutter_confidence_val,avg_roof_confidence_val,correct_house_present_prediction,correct_vegetation_prediction,correct_siding_prediction,correct_gutter_prediction,correct_roof_prediction,percent_correct_house_present_prediction,percent_correct_vegetation_prediction,percent_correct_siding_prediction,percent_correct_gutter_prediction,percent_correct_roof_prediction
1501 6TH AVE NE,Independence,Iowa,G,D,"https://maps.googleapis.com/maps/api/streetview?size=800x800&location=1501+6TH+AVE+NE,Independence+Iowa",-91.8880423,42.4842084,,TRUE,,1,FALSE,garden_present,44.23,1,poor_siding,35.66,0,good_gutter,68.44,1,good_roof,52.67,1,G_D_1501 6TH AVE NE_,,,,,,,,,,,,,,,,,,,,
1502 6TH AVE NE,Independence,Iowa,G,D,"https://maps.googleapis.com/maps/api/streetview?size=800x800&location=1502+6TH+AVE+NE,Independence+Iowa",-91.887451,42.4844673,,TRUE,,1,FALSE,garden_present,43.78,1,poor_siding,36.34,0,good_gutter,67.86,1,good_roof,56.93,1,G_D_1502 6TH AVE NE_,,,,,,,,,,,,,,,,,,,,
1504 NORTH RIDGE CT NE,Independence,Iowa,G,D,"https://maps.googleapis.com/maps/api/streetview?size=800x800&location=1504+NORTH+RIDGE+CT+NE,Independence+Iowa",-91.8884619,42.4845849,,TRUE,,1,FALSE,garden_present,40.44,1,poor_siding,36.4,0,good_gutter,68.09,1,bad_roof,50.35,0,G_D_1504 NORTH RIDGE CT NE_,,,,,,,,,,,,,,,,,,,,
1503 6TH AVE NE,Independence,Iowa,G,D,"https://maps.googleapis.com/maps/api/streetview?size=800x800&location=1503+6TH+AVE+NE,Independence+Iowa",-91.887985,42.4846119,,TRUE,,1,FALSE,garden_present,42.74,1,poor_siding,36.15,0,good_gutter,70.3,1,good_roof,56.5,1,G_D_1503 6TH AVE NE_,,,,,,,,,,,,,,,,,,,,
1504 6TH AVE NE,Independence,Iowa,G,D,"https://maps.googleapis.com/maps/api/streetview?size=800x800&location=1504+6TH+AVE+NE,Independence+Iowa",-91.8873747,42.4846986,,TRUE,,1,FALSE,garden_present,43.38,1,poor_siding,36.05,0,good_gutter,66.1,1,good_roof,57.44,1,G_D_1504 6TH AVE NE_,,,,,,,,,,,,,,,,,,,,
1501 NORTH RIDGE CT NE,Independence,Iowa,G,D,"https://maps.googleapis.com/maps/api/streetview?size=800x800&location=1501+NORTH+RIDGE+CT+NE,Independence+Iowa",-91.889034,42.4841921,,TRUE,,1,FALSE,garden_present,42.89,1,poor_siding,35.69,0,good_gutter,69.7,1,good_roof,54.25,1,G_D_1501 NORTH RIDGE CT NE_,This image is a repeat from above (same address),,,,,,,,,,,,,,,,,,,
1506 NORTH RIDGE CT NE,Independence,Iowa,G,D,"https://maps.googleapis.com/maps/api/streetview?size=800x800&location=1506+NORTH+RIDGE+CT+NE,Independence+Iowa",-91.8884619,42.4849299,,TRUE,,1,FALSE,garden_present,39.44,1,chipped_paint,35.7,0,good_gutter,69.95,1,good_roof,52.76,1,G_D_1506 NORTH RIDGE CT NE_,,,,,,,,,,,,,,,,,,,,
1505 6TH AVE NE,Independence,Iowa,G,D,"https://maps.googleapis.com/maps/api/streetview?size=800x800&location=1505+6TH+AVE+NE,Independence+Iowa",-91.8880613,42.4849173,,TRUE,,1,FALSE,garden_present,42.9,1,poor_siding,34.38,0,good_gutter,69.25,1,good_roof,51.94,1,G_D_1505 6TH AVE NE_,,,,,,,,,,,,,,,,,,,,
1506 6TH AVE NE,Independence,Iowa,G,D,"https://maps.googleapis.com/maps/api/streetview?size=800x800&location=1506+6TH+AVE+NE,Independence+Iowa",-91.8873938,42.4849858,,TRUE,,1,FALSE,garden_present,47.92,1,poor_siding,37.55,0,good_gutter,58,1,good_roof,56.67,1,G_D_1506 6TH AVE NE_,,,,,,,,,,,,,,,,,,,,
1803 8TH AVE NE,Independence,Iowa,G,D,"https://maps.googleapis.com/maps/api/streetview?size=800x800&location=1803+8TH+AVE+NE,Independence+Iowa",-91.884922,42.487719,,TRUE,,1,FALSE,garden_present,41.09,1,poor_siding,35.57,0,good_gutter,69.08,1,good_roof,51.89,1,G_D_1803 8TH AVE NE_,,,,,,,,,,,,,,,,,,,,
